income_group,n_countries,first_year,last_year,n_observations,avg_log_u5_mort,avg_log_adol_fert,avg_life_exp,avg_log_gdp_per_capita
High income,65,1990,2023,2210,2.0534433838860915,2.77679583225363,76.68106247655656,10.057119100005385
Low income,25,1990,2023,850,4.650851479729926,4.540841736282984,55.94937058823529,6.389471238167405
Lower middle income,50,1990,2023,1700,4.003862503319244,4.188010430504146,63.0938326685647,7.362649517073563
Upper middle income,54,1990,2023,1836,3.1485239532142497,3.7150321800593638,70.25890722141612,8.435696074100504
