model,outcome,main_predictor,coef_main_predictor,p_value_main_predictor,r_squared,n_obs
Original scale lag5,adol_fert,u5_mort_lag5,0.27499353895167944,1.6737196027593698e-75,0.6707850673463305,5626
Log-log lag5,log_adol_fert,log_u5_mort_lag5,0.6404113232941667,4.251763722532327e-174,0.6306045018844776,5626
Log-log lag3,log_adol_fert,log_u5_mort_lag3,0.6680927497204739,1.9073853486340332e-200,0.6324812275104628,6014
Log-log lag10,log_adol_fert,log_u5_mort_lag10,0.5748968079446175,9.852816519672739e-127,0.6312993071757617,4656
Log-log lag5 + GDP,log_adol_fert,log_u5_mort_lag5,0.6284166846051844,1.9736893486962524e-180,0.6897580892728101,5477
