income_group,n_countries,first_year,last_year,n_observations,avg_u5_mort,avg_adol_fert,avg_life_exp,avg_gdp_per_capita
High income,65,1990,2023,2210,10.079140271493213,24.505107239819004,76.68106247655656,30773.787750544627
Low income,25,1990,2023,850,123.46317647058824,116.94735647058823,55.94937058823529,675.5052552582847
Lower middle income,50,1990,2023,1700,68.10523529411765,78.03416176470589,63.0938326685647,1871.4813952289405
Upper middle income,54,1990,2023,1836,29.63115468409586,52.42471786492375,70.25890722141612,5294.506956174549
