Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Low income,LIC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.99229164,61.40181927,61.57966487,62.34009682,62.79753969,62.81836239,62.38012743,63.45834102,64.5179111,64.70151063
Liechtenstein,LIE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.65609756,82.25853659,83.74634146,83.04146341,84.16097561,81.65853659,84.40243902,84.12195122,84.59512195,84.2
Sri Lanka,LKA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.99,76.136,76.239,76.485,76.698,76.928,76.278,77.3,77.483,77.672
Lower middle income,LMC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.3495072,67.6791939,67.99529154,68.28100336,68.55742563,68.04035634,66.3662903,69.30109468,69.59637466,69.78616153
Low & middle income,LMY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.36751723,70.60594537,70.80800475,71.13417073,71.36949233,70.74835668,69.67143495,71.68492595,71.973533,72.10857562
Lesotho,LSO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,51.83,52.908,53.874,54.638,55.249,55.133,54.209,56.812,57.375,57.798
Late-demographic dividend,LTE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.07623288,76.29289972,76.41743435,76.77814894,76.99796063,76.69356381,76.3060137,76.95436731,77.12405633,77.23331363
Lithuania,LTU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.32195122,74.67073171,75.4804878,75.6804878,76.28292683,75.02926829,74.03658537,75.64390244,77.2902439,77.19512195
Luxembourg,LUX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.29268293,82.68536585,82.09512195,82.29512195,82.63902439,82.14390244,82.59756098,82.94634146,83.3097561,83.19512195
Latvia,LVA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.4804878,74.5804878,74.62926829,74.78292683,75.38780488,75.18536585,72.9804878,74.27804878,75.42682927,76.42926829
"Macao SAR, China",MAC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,83.22439024,83.27560976,83.52682927,83.67804878,83.92926829,84.12926829,83.72926829,83.0804878,83.1804878,83.33170732
St. Martin (French part),MAF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.829,79.885,78.762,80.029,80.078,80.085,80.206,80.236,80.224,80.438
Morocco,MAR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.894,73.228,73.608,73.946,74.245,73.133,73.385,75.161,75.313,75.493
Monaco,MCO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,85.323,85.63,85.878,86.084,86.151,86.089,85.113,85.746,86.372,86.497
Moldova,MDA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.118,70.179,70.375,70.236,70.181,69.914,68.991,71.546,71.198,71.332
Madagascar,MDG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.362,63.431,63.433,63.491,63.504,62.706,62.516,63.068,63.632,63.835
Maldives,MDV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.607,78.913,79.228,79.433,79.707,78.713,78.052,80.76,81.041,81.285
"Middle East, North Africa, Afghanistan & Pakistan",MEA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.15104093,70.42886352,70.70965927,70.94032135,71.2438695,69.91107896,69.71131935,71.69172932,72.08383647,72.31464045
Mexico,MEX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.431,74.376,74.261,74.301,74.53,70.449,69.75,73.973,75.069,75.264
