country_code,country_name,region,income_group,year,u5_mort,is_outlier,life_exp,gdp
AUS,Australia,East Asia & Pacific,High income,2015,3.9,False,82.4,56970.3613028094
AUS,Australia,East Asia & Pacific,High income,2016,3.8,False,82.44878049,57632.9995925594
AUS,Australia,East Asia & Pacific,High income,2017,3.8,False,82.5,57991.771347333
AUS,Australia,East Asia & Pacific,High income,2018,3.8,False,82.74878049,58772.7063152213
AUS,Australia,East Asia & Pacific,High income,2019,3.8,False,82.9,59181.2997904131
AUS,Australia,East Asia & Pacific,High income,2020,3.8,False,83.2,58377.7670517802
AUS,Australia,East Asia & Pacific,High income,2021,3.7,False,83.3,59465.535671364
AUS,Australia,East Asia & Pacific,High income,2022,3.7,False,83.2,61200.4588964781
AUS,Australia,East Asia & Pacific,High income,2023,3.7,False,83.05121951,61869.082498576
AUT,Austria,Europe & Central Asia,High income,2015,3.7,False,81.1902439,43915.228020857
AUT,Austria,Europe & Central Asia,High income,2016,3.6,False,81.64146341,44362.6702805116
AUT,Austria,Europe & Central Asia,High income,2017,3.6,False,81.64390244,45056.6385912412
AUT,Austria,Europe & Central Asia,High income,2018,3.5,False,81.69268293,45951.5819164034
AUT,Austria,Europe & Central Asia,High income,2019,3.5,False,81.89512195,46550.5622459492
AUT,Austria,Europe & Central Asia,High income,2020,3.4,False,81.19268293,43428.6983137234
AUT,Austria,Europe & Central Asia,High income,2021,3.4,False,81.1902439,45368.6434337368
AUT,Austria,Europe & Central Asia,High income,2022,3.3,False,81.29512195,47332.4240357971
AUT,Austria,Europe & Central Asia,High income,2023,3.3,False,81.79268293,46497.9114640341
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2015,27.9,False,72.349,5500.50364628486
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2016,26.5,False,72.568,5272.71817141861
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2017,25.1,False,72.694,5229.25259993413
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2018,23.8,False,73.016,5261.92938234432
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2019,22.7,False,73.29,5346.95318604114
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2020,21.5,False,70.312,5087.50022783627
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2021,20.5,False,70.999,5349.58226071425
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2022,19.6,False,74.125,5599.58524971025
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2023,18.7,False,74.429,5668.61021317029
BDI,Burundi,Sub-Saharan Africa,Low income,2015,66.9,False,60.107,254.402585226788
BDI,Burundi,Sub-Saharan Africa,Low income,2016,63.7,False,60.789,258.061970808946
BDI,Burundi,Sub-Saharan Africa,Low income,2017,60.9,False,61.345,261.725839288764
BDI,Burundi,Sub-Saharan Africa,Low income,2018,58.5,False,61.806,267.508692172687
BDI,Burundi,Sub-Saharan Africa,Low income,2019,56.2,False,62.18,270.411005710809
BDI,Burundi,Sub-Saharan Africa,Low income,2020,54.3,False,62.569,263.463876356897
BDI,Burundi,Sub-Saharan Africa,Low income,2021,52.3,False,62.101,264.682651664249
BDI,Burundi,Sub-Saharan Africa,Low income,2022,50.3,False,62.882,263.587550051638
BDI,Burundi,Sub-Saharan Africa,Low income,2023,48.7,False,63.651,264.843307950214
BEL,Belgium,Europe & Central Asia,High income,2015,4.1,False,80.99268293,40893.804537772
BEL,Belgium,Europe & Central Asia,High income,2016,4.1,False,81.43902439,41172.8862831209
BEL,Belgium,Europe & Central Asia,High income,2017,4.0,False,81.49268293,41619.328629169
BEL,Belgium,Europe & Central Asia,High income,2018,4.0,False,81.59512195,42208.3625650272
BEL,Belgium,Europe & Central Asia,High income,2019,3.9,False,81.99512195,43006.4042308863
BEL,Belgium,Europe & Central Asia,High income,2020,3.9,False,80.69512195,40769.0218072962
BEL,Belgium,Europe & Central Asia,High income,2021,3.8,False,81.7902439,43140.9676652971
