country_code,country,year,u5_mort,income_group,adol_fert,life_exp,u5_mort_lag5
BOL,Bolivia,2022,17.3,Lower middle income,65.76,67.434,23.4
BOL,Bolivia,2023,16.4,Lower middle income,64.848,68.581,22.0
BRA,Brazil,2020,14.9,Upper middle income,47.46,74.506,16.0
BRA,Brazil,2021,14.7,Upper middle income,45.67,73.038,16.8
BRA,Brazil,2022,14.6,Upper middle income,42.881,74.872,15.4
BRA,Brazil,2023,14.4,Upper middle income,42.686,75.848,15.2
BRB,Barbados,2020,11.1,High income,45.931,76.647,12.8
BRB,Barbados,2021,10.7,High income,45.948,76.58,12.4
BRB,Barbados,2022,10.4,High income,45.848,75.676,12.1
BRB,Barbados,2023,10.1,High income,45.332,76.178,11.8
BRN,Brunei Darussalam,2020,10.4,High income,8.847,75.114,10.7
BRN,Brunei Darussalam,2021,10.3,High income,8.581,74.869,10.7
BRN,Brunei Darussalam,2022,10.2,High income,8.589,72.917,10.7
BRN,Brunei Darussalam,2023,10.1,High income,8.518,75.327,10.6
BTN,Bhutan,2020,21.3,Lower middle income,8.74,72.253,29.2
BTN,Bhutan,2021,20.0,Lower middle income,9.645,72.448,27.4
BTN,Bhutan,2022,19.0,Lower middle income,9.388,72.754,25.8
BTN,Bhutan,2023,18.0,Lower middle income,9.364,72.975,24.2
BWA,Botswana,2020,38.9,Upper middle income,55.557,67.643,46.7
BWA,Botswana,2021,37.1,Upper middle income,55.094,63.303,45.1
BWA,Botswana,2022,35.7,Upper middle income,54.585,68.749,42.1
BWA,Botswana,2023,34.6,Upper middle income,53.805,69.163,41.2
CAF,Central African Republic,2020,124.2,Low income,163.964,50.596,113.7
CAF,Central African Republic,2021,178.7,Low income,163.575,40.279,126.8
CAF,Central African Republic,2022,424.6,Low income,163.019,18.818,155.2
CAF,Central African Republic,2023,92.6,Low income,163.093,57.408,120.2
CAN,Canada,2020,5.2,High income,5.805,81.53,5.3
CAN,Canada,2021,5.2,High income,5.262,81.45146341,5.3
CAN,Canada,2022,5.3,High income,4.889,81.09487805,5.2
CAN,Canada,2023,5.4,High income,4.805,81.62634146,5.2
CHE,Switzerland,2020,4.0,High income,1.671,83.0,4.3
CHE,Switzerland,2021,4.0,High income,1.471,83.75121951,4.2
CHE,Switzerland,2022,3.9,High income,1.386,83.60487805,4.1
CHE,Switzerland,2023,3.9,High income,1.483,84.15609756,4.1
CHL,Chile,2020,6.8,High income,14.415,79.349,7.9
CHL,Chile,2021,6.7,High income,7.892,78.876,7.7
CHL,Chile,2022,6.8,High income,7.687,79.176,7.6
CHL,Chile,2023,6.9,High income,6.542,81.167,7.3
CHN,China,2020,7.5,Upper middle income,6.737,78.019,10.7
CHN,China,2021,7.0,Upper middle income,5.996,78.117,10.0
CHN,China,2022,6.6,Upper middle income,5.463,78.202,9.3
CHN,China,2023,6.1,Upper middle income,5.227,77.953,8.6
CIV,Cote d'Ivoire,2020,73.0,Lower middle income,96.903,60.14,85.5
CIV,Cote d'Ivoire,2021,70.8,Lower middle income,94.609,60.29,83.0
CIV,Cote d'Ivoire,2022,68.7,Lower middle income,93.194,61.562,80.5
CIV,Cote d'Ivoire,2023,66.5,Lower middle income,92.085,61.944,77.9
CMR,Cameroon,2020,74.4,Lower middle income,112.084,61.674,88.5
CMR,Cameroon,2021,71.9,Lower middle income,109.907,61.146,85.1
CMR,Cameroon,2022,69.4,Lower middle income,108.328,62.443,81.9
CMR,Cameroon,2023,67.0,Lower middle income,106.661,63.7,78.9
COD,"Congo, Dem. Rep.",2020,92.7,Low income,110.308,60.428,91.9
COD,"Congo, Dem. Rep.",2021,92.9,Low income,109.234,60.044,91.5
COD,"Congo, Dem. Rep.",2022,92.5,Low income,108.06,60.979,91.5
COD,"Congo, Dem. Rep.",2023,91.3,Low income,106.884,61.895,91.7
COG,"Congo, Rep.",2020,44.5,Lower middle income,113.633,64.391,52.7
COG,"Congo, Rep.",2021,43.0,Lower middle income,112.715,64.192,51.0
COG,"Congo, Rep.",2022,41.5,Lower middle income,111.227,65.0,49.3
COG,"Congo, Rep.",2023,40.3,Lower middle income,109.88,65.772,47.6
COL,Colombia,2020,13.1,Upper middle income,62.885,74.757,15.5
COL,Colombia,2021,12.7,Upper middle income,62.023,72.698,15.0
COL,Colombia,2022,12.3,Upper middle income,60.175,76.508,14.5
COL,Colombia,2023,11.9,Upper middle income,59.473,77.725,14.0
COM,Comoros,2020,43.7,Lower middle income,58.543,65.756,48.9
COM,Comoros,2021,42.6,Lower middle income,57.386,65.201,47.9
COM,Comoros,2022,41.4,Lower middle income,56.298,66.481,46.9
COM,Comoros,2023,40.2,Lower middle income,55.233,66.777,45.8
CPV,Cabo Verde,2020,13.3,Upper middle income,39.913,73.818,19.2
CPV,Cabo Verde,2021,12.7,Upper middle income,38.922,74.424,17.6
CPV,Cabo Verde,2022,12.1,Upper middle income,38.673,75.907,16.2
CPV,Cabo Verde,2023,11.6,Upper middle income,38.755,76.059,15.1
CRI,Costa Rica,2020,9.3,High income,33.354,79.725,9.0
CRI,Costa Rica,2021,9.6,High income,27.871,78.05,8.9
CRI,Costa Rica,2022,9.9,High income,26.451,79.316,8.9
CRI,Costa Rica,2023,10.1,High income,26.251,80.799,9.0
CUB,Cuba,2020,7.2,Upper middle income,50.532,77.407,6.1
